ÀÏÀÚ,±¸ºÐ,°è,05½Ã,06½Ã,07½Ã,08½Ã,09½Ã,10½Ã,11½Ã,12½Ã,13½Ã,14½Ã,15½Ã,16½Ã,17½Ã,18½Ã,19½Ã,20½Ã,21½Ã,22½Ã,23½Ã,24½Ã,01½Ã,02½Ã,03½Ã,04½Ã
2021-01-01,½ÂÂ÷,56093 ,1076 ,1517 ,1969 ,2540 ,2726 ,2730 ,3232 ,3685 ,4011 ,4437 ,4538 ,4702 ,4386 ,3588 ,2844 ,3273 ,3028 ,1127 ,492 ,155 ,14 ,3 ,0 ,20 
2021-01-01,ÇÏÂ÷,55900 ,341 ,1312 ,1568 ,2321 ,2714 ,2552 ,2865 ,3456 ,3697 ,4408 ,4393 ,4626 ,4391 ,4038 ,3122 ,2920 ,3617 ,2040 ,1006 ,473 ,22 ,4 ,0 ,14 
2021-01-02,½ÂÂ÷,79351 ,1257 ,2108 ,3174 ,4338 ,4543 ,4225 ,5089 ,5955 ,6145 ,6157 ,6240 ,6245 ,5913 ,4714 ,3395 ,4197 ,3552 ,1396 ,515 ,182 ,5 ,0 ,0 ,6 
2021-01-02,ÇÏÂ÷,78367 ,426 ,1698 ,2336 ,3706 ,4188 ,4013 ,4369 ,5344 ,5719 ,6094 ,6034 ,6188 ,5997 ,5571 ,3962 ,3679 ,4720 ,2560 ,1216 ,535 ,7 ,0 ,0 ,5 
2021-01-03,½ÂÂ÷,62015 ,948 ,1391 ,1893 ,2848 ,3271 ,3194 ,3522 ,4073 ,4730 ,4966 ,5198 ,5034 ,4810 ,4064 ,3191 ,3960 ,3032 ,1279 ,464 ,120 ,15 ,3 ,0 ,9 
2021-01-03,ÇÏÂ÷,61251 ,319 ,1191 ,1414 ,2244 ,3116 ,3176 ,3119 ,3603 ,4269 ,4748 ,4875 ,4902 ,4819 ,4660 ,3575 ,3437 ,4082 ,2244 ,1038 ,393 ,19 ,1 ,0 ,7 
2021-01-04,½ÂÂ÷,145668 ,3014 ,7693 ,18992 ,16666 ,7377 ,5201 ,5297 ,5721 ,6056 ,6218 ,6903 ,7670 ,12772 ,16367 ,6831 ,6037 ,4417 ,1582 ,607 ,222 ,14 ,4 ,0 ,7 
2021-01-04,ÇÏÂ÷,143825 ,802 ,4178 ,10786 ,18494 ,7906 ,5019 ,4803 ,5285 ,5771 ,5860 ,6572 ,7028 ,9907 ,18170 ,13801 ,7667 ,6264 ,3437 ,1460 ,586 ,27 ,1 ,0 ,1 
2021-01-05,½ÂÂ÷,145281 ,2870 ,7458 ,18839 ,17060 ,7418 ,5154 ,5245 ,5574 ,5837 ,6031 ,6883 ,7556 ,12771 ,15881 ,6733 ,6682 ,4769 ,1730 ,578 ,186 ,11 ,1 ,0 ,14 
2021-01-05,ÇÏÂ÷,143748 ,759 ,4199 ,10787 ,18574 ,8467 ,4805 ,4838 ,5017 ,5615 ,5913 ,6385 ,6897 ,9736 ,18100 ,13304 ,7890 ,6830 ,3631 ,1436 ,540 ,15 ,1 ,0 ,9 
2021-01-06,½ÂÂ÷,155868 ,2835 ,7242 ,18624 ,17131 ,7079 ,4923 ,4772 ,5476 ,5827 ,5708 ,6667 ,7570 ,13682 ,17321 ,10521 ,9457 ,7060 ,2699 ,1015 ,242 ,6 ,0 ,0 ,11 
2021-01-06,ÇÏÂ÷,154410 ,734 ,4163 ,10492 ,18714 ,7880 ,4604 ,4365 ,4812 ,5526 ,5645 ,6201 ,6867 ,10137 ,18840 ,15466 ,11196 ,9521 ,5717 ,2546 ,953 ,24 ,1 ,0 ,6 
2021-01-07,½ÂÂ÷,173247 ,3542 ,10393 ,24893 ,22171 ,9147 ,5596 ,5382 ,5699 ,5760 ,5987 ,6862 ,8304 ,14768 ,20342 ,8332 ,7714 ,5810 ,1757 ,577 ,189 ,7 ,0 ,0 ,15 
2021-01-07,ÇÏÂ÷,171065 ,822 ,5478 ,15103 ,26107 ,10748 ,5575 ,4927 ,5161 ,5741 ,5774 ,6388 ,7167 ,11122 ,21373 ,16054 ,9178 ,8075 ,3982 ,1647 ,616 ,20 ,0 ,0 ,7 
2021-01-08,½ÂÂ÷,151013 ,2753 ,7918 ,19715 ,18185 ,7449 ,4776 ,4708 ,5352 ,5624 ,5615 ,6625 ,8045 ,13758 ,17812 ,7560 ,6903 ,5412 ,1881 ,678 ,230 ,8 ,1 ,0 ,5 
2021-01-08,ÇÏÂ÷,149581 ,645 ,4310 ,12009 ,20523 ,8409 ,4492 ,4414 ,4652 ,5454 ,5630 ,6056 ,7188 ,10461 ,19084 ,14236 ,8232 ,7513 ,3888 ,1684 ,686 ,12 ,1 ,0 ,2 
2021-01-09,½ÂÂ÷,92387 ,1690 ,2872 ,4619 ,5873 ,5091 ,4970 ,5761 ,6790 ,6697 ,6491 ,6896 ,7076 ,7156 ,5448 ,3965 ,4629 ,4079 ,1536 ,571 ,163 ,3 ,0 ,0 ,11 
2021-01-09,ÇÏÂ÷,91208 ,505 ,2254 ,3515 ,5086 ,4991 ,4391 ,4883 ,6046 ,6465 ,6616 ,6457 ,6911 ,7140 ,6638 ,4977 ,4290 ,5168 ,2994 ,1328 ,540 ,9 ,0 ,0 ,4 
